Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаповал,Олекса,Вадимович,Чоловіча,29-11-1999,Археолог,хутір Ямпіль,"площа Князівський, буд. 08 кв. 52, Перещепине, 37554",+380 38 695-73-52,sofiialavrenko@example.net
Хомик,Леон,Костянтинович,Чоловіча,10-03-1986,Краєзнавець,місто Ананьїв,"провулок Данькевича, буд. 5, Антрацит , 50706",185-67-96,yshablii@example.org
Кириленко,Орхип,Ааронович,Чоловіча,12-04-1989,Математик,хутір Соснівка ,"парк Недєліна, буд. 202, Копичинці, 55989",+380 64 224-04-49,artemzaika@example.net
Твердохліб,Тарас,Арсенович,Чоловіча,08-11-1984,Гірничий інженер,село Лутугине,"узвіз Покровський, буд. 2 кв. 143, Щастя , 16695",391-56-41,zlatoslavavashchenko@example.org
Цюпа,Лукʼян,Едуардович,Чоловіча,20-09-1967,Будник,село Судак ,"сквер Індійська, буд. 95 кв. 3, Хорол , 95454",+380 15 645 24 43,milena49@example.org
Вишняк,Руслан,Остапович,Чоловіча,11-06-1976,Соціолог,село Рогатин,"вулиця Цементний, буд. 641, Новодружеськ, 81878",854 73 68,bvitruk@example.org
Христич,Василь,Омелянович,Чоловіча,03-09-1967,Гицель,хутір Слов'янськ,"вулиця Заводська 2-га, буд. 5 кв. 143, Донецьк, 74784",+380 74 762 81 25,danchenkoada@example.net
Ейбоженко,Віталій,Костянтинович,Чоловіча,25-05-1949,Модельєр,хутір Радехів,"узвіз Ямчитського, буд. 83, Виноградів, 43886",+380 (70) 395-76-94,gshcherbak@example.org
Яценко,Артем,Васильович,Чоловіча,16-03-1955,Вчитель,село Київ,"площа Баркасний, буд. 5, Кременець, 65409",+380 50 133-74-03,tmykytiuk@example.net
Безбородько,Аркадій,Володимирович,Чоловіча,15-01-1956,Модель,село Бунге ,"площа Леонова, буд. 5, Покров, 29877",069 172-28-73,uiaremenko@example.com
Швачка,Давид,Артемович,Чоловіча,16-10-1980,Епідеміолог,місто Кілія,"узвіз Лучиста, буд. 807 кв. 5, Саки , 75649",445-58-32,chekaliukherman@example.net
Шахрай,Миколай,Симонович,Чоловіча,15-12-1938,Юрист,місто Бучач,"шосе Вишнева, буд. 7 кв. 742, Любомль, 83425",+380 76 859 32 53,baklaniukhym@example.net
Бевз,Онисим,Олексович,Чоловіча,12-10-1964,Мінералог,хутір Південне ,"шосе Уральська, буд. 8 кв. 947, Докучаєвськ, 52728",069-20-97,zdziuba@example.com
Захарченко,Данило,Захарович,Чоловіча,26-06-2003,Модельєр,село Дубляни,"вулиця Молодогвардійська, буд. 6 кв. 120, Іршава, 45625",025 870-51-96,iaremkomakar@example.net
Євдокименко,Павло,Симонович,Чоловіча,05-06-1990,Режисер,місто Чорнобиль,"парк Соляний 4-й, буд. 130, Лисичанськ, 78989",+380 14 235 00 99,ieremenkoiaroslav@example.com
Забіла,Павло,Русланович,Чоловіча,20-12-1948,Медик,хутір Молодогвардійськ,"набережна Моторний 3-й, буд. 7 кв. 980, Бахмут, 30621",045 415 85 31,arkadiihres@example.net
Худяк,Юхим,Євгенійович,Чоловіча,31-05-1974,Фермер,селище Кадіївка,"сквер Тупиковий 1-й, буд. 60, Корсунь-Шевченківський, 01156",+380 80 530-92-42,hennadii63@example.com
Артюшенко,Андрій,Кирилович,Чоловіча,10-09-2006,Сантехнік,хутір Радехів,"шосе Луцька, буд. 7, Покров, 81864",+380 22 462 33 77,leopolddankiv@example.org
Артюх,Орхип,Антонович,Чоловіча,26-02-1958,Науковець,село Харків,"набережна Санаторний, буд. 7 кв. 761, Ясинувата, 87180",+380 19 099 36 51,emiliia80@example.org
Бандера,Симон,Прохорович,Чоловіча,15-06-1984,Менеджер,селище Дунаївці,"площа Об'їзна дорога, буд. 5, Решетилівка, 69473",+380 09 245 33 11,vandroshchuk@example.com
Щорс,Соломон,Миколайович,Чоловіча,16-04-1981,Різноробочий,село Новий Калинів,"набережна Заводська 2-га, буд. 61, Попасна, 08563",+380 (54) 500-17-78,filipenkoanzhela@example.com
Юрчишин,Богодар,Вадимович,Чоловіча,04-06-1976,Продюсер,хутір Угнів,"узвіз Катерининська, буд. 38 кв. 43, Балаклія, 17052",+380 00 410 50 74,btsushko@example.com
Медведенко,Ігнат,Геннадійович,Чоловіча,10-10-1970,Географ,селище Корюківка,"набережна Моторний 1-й, буд. 477 кв. 32, Синельникове, 01890",000 104 86 76,alina80@example.org
Овсієнко,Борис,Ярославович,Чоловіча,27-12-1965,Публіцист,селище Підгайці,"площа 7-ма Суворовська, буд. 998, Бар, 31757",+380 (82) 718-92-39,bshapoval@example.org
Андрієнко,Антон,Данилович,Чоловіча,06-08-1953,Фармацевт,село Ізюм,"вулиця Клинова, буд. 76, Бучач, 89102",025 587-00-23,yprytula@example.net
Кириленко,Богдан,Ааронович,Чоловіча,27-09-2006,Дипломат,село Іллінці,"узвіз Жевахова, буд. 165, Умань, 97419",015 922-84-92,artemhunko@example.org
Засуха,Ігнат,Леонідович,Чоловіча,28-10-1989,Ботанік,селище Ланівці,"провулок Кустанайський 2-й, буд. 346 кв. 782, Брянка, 05243",+380 26 321-05-95,iaryna20@example.com
Терещук,Віталій,Єфремович,Чоловіча,03-05-1969,Штукатур,село Добромиль,"провулок Мічуріна, буд. 631 кв. 93, Дергачі, 57794",065 277 02 36,avdovenko@example.net
Тягнибок,Трохим,Стефанович,Чоловіча,19-08-1991,Клоун,місто Новогродівка,"провулок Ушинського, буд. 3 кв. 26, Дебальцеве, 67016",015 563-54-82,vhabelko@example.com
Мамчур,Віктор,Демʼянович,Чоловіча,13-10-1974,Співак,село Лохвиця,"парк Олександра Невського 4-й, буд. 1 кв. 60, Кальміуське, 47189",+380 14 941-35-65,vasylashkokhoma@example.net
Єрьоменко,Григорій,Віталійович,Чоловіча,08-02-1957,Фольклорист,місто Сорокине,"набережна Онезька, буд. 1, Ясинувата, 09994",+380 66 138-55-48,atamaniukfeofan@example.net
Вергун,Панас,Ігорович,Чоловіча,03-11-1938,Географ,місто Борщів,"шосе Баркасний, буд. 40, Кам'янка-Дніпровська, 90766",091 271-84-91,artem55@example.net
Абраменко,Пилип,Георгійович,Чоловіча,11-06-1949,Фізик,хутір Теребовля,"проспект Донцова Дмитра, буд. 4 кв. 24, Кам'янка (Черкаська область), 12374",+380 (42) 777-72-72,xviter@example.com
Таран,Григорій,Глібович,Чоловіча,18-12-1945,Економіст,селище Баранівка,"набережна Лиманчик 2-й Лінія 5-та, буд. 42 кв. 5, Чугуїв, 23181",+380 (07) 238-37-48,irynalavrenko@example.org
Вишняк,Михайло,Федорович,Чоловіча,22-12-2003,Антрополог,село Кривий Ріг,"проспект Дунаєвського 3-й, буд. 8, Мала Виска, 40551",876-10-72,olesshakhrai@example.org
Гунько,Аркадій,Степанович,Чоловіча,21-06-2001,Археолог,селище Ізмаїл,"узвіз Сінна, буд. 5, Зугрес, 25043",526 33 54,sartiushenko@example.net
Ляшко,Антон,Зиновійович,Чоловіча,26-10-1977,Стиліст,селище Липовець,"шосе Солонцюватий, буд. 87, Узин, 11846",+380 15 964 24 89,ivanfareniuk@example.org
Жадан,Григорій,Глібович,Чоловіча,29-08-1976,Геофізик,місто Яготин,"парк Восьмого березня узвіз, буд. 1, Євпаторія, 89703",107-58-80,mykytabaklan@example.org
Данильчук,Єлисей,Демидович,Чоловіча,24-05-1964,Машиніст,місто Алчевськ,"сквер Миколи Боровського, буд. 752 кв. 495, Хоростків, 81177",005 161 06 53,varkhypenko@example.org
Юрчук,Віталій,Опанасович,Чоловіча,15-03-1961,Геолог,село Косів,"парк Дубова, буд. 278, Житомир, 30906",118-32-96,piatachenkoiarema@example.net
